Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
BEH21 Index,2021-03-19,2021-03-19,03/22/21,2021-03-22,3876.1
BEJ21 Index,2021-04-16,2021-04-16,04/19/21,2021-04-19,3968.36
BEK21 Index,2021-05-21,2021-05-21,05/24/21,2021-05-24,4063.59
BEM21 Index,2021-06-18,2021-06-18,06/21/21,2021-06-21,4144.0
BEN21 Index,2021-07-16,2021-07-16,07/19/21,2021-07-19,4142.91
BEQ21 Index,2021-08-20,2021-08-20,08/23/21,2021-08-23,4260.55
BEU21 Index,2021-09-17,2021-09-17,09/20/21,2021-09-20,4158.8
BEV21 Index,2021-10-15,2021-10-15,10/18/21,2021-10-18,4200.27
BEX21 Index,2021-11-19,2021-11-19,11/22/21,2021-11-22,4226.82
BEZ21 Index,2021-12-17,2021-12-17,12/20/21,2021-12-20,4143.24
BEF22 Index,2022-01-21,2022-01-21,01/24/22,2022-01-24,4145.48
BEG22 Index,2022-02-18,2022-02-18,02/21/22,2022-02-21,4067.86
BEH22 Index,2022-03-18,2022-03-18,03/21/22,2022-03-21,4113.99
BEJ22 Index,2022-04-14,2022-04-14,04/19/22,2022-04-19,4208.76
BEK22 Index,2022-05-20,2022-05-20,05/23/22,2022-05-23,3948.58
BEM22 Index,2022-06-17,2022-06-17,06/20/22,2022-06-20,3725.73
BEN22 Index,2022-07-15,2022-07-15,07/18/22,2022-07-18,3683.33
BEQ22 Index,2022-08-19,2022-08-19,08/22/22,2022-08-22,3772.31
BEU22 Index,2022-09-16,2022-09-16,09/19/22,2022-09-19,3583.86
BEV22 Index,2022-10-21,2022-10-21,10/24/22,2022-10-24,3437.45
BEX22 Index,2022-11-18,2022-11-18,11/21/22,2022-11-21,3635.24
BEZ22 Index,2022-12-16,2022-12-16,12/19/22,2022-12-19,3666.86
BEF23 Index,2023-01-20,2023-01-20,01/23/23,2023-01-23,3867.58
BEG23 Index,2023-02-17,2023-02-17,02/20/23,2023-02-20,3906.72
BEH23 Index,2023-03-17,2023-03-17,03/20/23,2023-03-20,3590.12
BEJ23 Index,2023-04-21,2023-04-21,04/24/23,2023-04-24,3820.39
BEK23 Index,2023-05-19,2023-05-19,05/22/23,2023-05-22,3744.57
BEM23 Index,2023-06-16,2023-06-16,06/19/23,2023-06-19,3664.48
BEN23 Index,2023-07-21,2023-07-21,07/24/23,2023-07-24,3781.51
BEQ23 Index,2023-08-18,2023-08-18,08/21/23,2023-08-21,3575.93
BEU23 Index,2023-09-15,2023-09-15,09/18/23,2023-09-18,3721.41
BEV23 Index,2023-10-20,2023-10-20,10/23/23,2023-10-23,3376.55
BEX23 Index,2023-11-17,2023-11-17,11/20/23,2023-11-20,3534.71
BEZ23 Index,2023-12-15,2023-12-15,12/18/23,2023-12-18,3735.84
BEF24 Index,2024-01-19,2024-01-19,01/22/24,2024-01-22,3560.74
BEG24 Index,2024-02-16,2024-02-16,02/19/24,2024-02-19,3692.3
BEH24 Index,2024-03-15,2024-03-15,03/18/24,2024-03-18,3703.51
BEJ24 Index,2024-04-19,2024-04-19,04/22/24,2024-04-22,3822.76
BEK24 Index,2024-05-17,2024-05-17,05/20/24,2024-05-20,3994.39
BEM4 Index,2024-06-21,2024-06-21,06/24/24,2024-06-24,3879.77
BEN4 Index,2024-07-19,2024-07-19,07/22/24,2024-07-22,3990.95
BEQ4 Index,2024-08-16,2024-08-16,08/19/24,2024-08-19,4063.74
BEU4 Index,2024-09-20,2024-09-20,09/23/24,2024-09-23,4220.47
BEV4 Index,2024-10-18,2024-10-18,10/21/24,2024-10-21,4308.13
BEX4 Index,2024-11-15,2024-11-15,11/18/24,2024-11-18,4181.76
BEZ4 Index,2024-12-20,2024-12-20,12/23/24,2024-12-23,4184.58
BEF5 Index,2025-01-17,2025-01-17,01/20/25,2025-01-20,4270.01
BEG5 Index,2025-02-21,2025-02-21,02/24/25,2025-02-24,4389.66
BEH5 Index,2025-03-21,2025-03-21,03/24/25,2025-03-24,4472.61
BEJ5 Index,2025-04-17,2025-04-17,04/22/25,2025-04-22,4184.3
BEK5 Index,2025-05-16,2025-05-16,05/19/25,2025-05-19,4283.0
BEM5 Index,2025-06-20,2025-06-20,06/23/25,2025-06-23,4260.0
BEN5 Index,2025-07-18,2025-07-18,07/21/25,2025-07-21,4265.0
BEU5 Index,2025-09-19,2025-09-19,09/22/25,2025-09-22,4279.0
