Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
AJM23 Index,2023-06-16,2023-06-16,06/16/23,2023-06-16,3102.63
AJN23 Index,2023-07-21,2023-07-21,07/21/23,2023-07-21,3242.71
AJQ23 Index,2023-08-18,2023-08-18,08/18/23,2023-08-18,3062.53
AJU23 Index,2023-09-15,2023-09-15,09/15/23,2023-09-15,3039.51
AJV23 Index,2023-10-20,2023-10-20,10/20/23,2023-10-20,2892.43
AJX23 Index,2023-11-17,2023-11-17,11/17/23,2023-11-17,3056.8
AJZ23 Index,2023-12-15,2023-12-15,12/15/23,2023-12-15,3116.68
AJF24 Index,2024-01-19,2024-01-19,01/19/24,2024-01-19,3253.48
AJG24 Index,2024-02-16,2024-02-16,02/16/24,2024-02-16,3427.15
AJH24 Index,2024-03-15,2024-03-15,03/15/24,2024-03-15,3431.57
AJJ24 Index,2024-04-19,2024-04-19,04/19/24,2024-04-19,3364.32
AJK24 Index,2024-05-17,2024-05-17,05/17/24,2024-05-17,3632.32
AJM4 Index,2024-06-21,2024-06-21,06/21/24,2024-06-21,3440.16
AJN4 Index,2024-07-19,2024-07-19,07/19/24,2024-07-19,3552.79
AJQ4 Index,2024-08-16,2024-08-16,08/16/24,2024-08-16,3500.23
AJU4 Index,2024-09-20,2024-09-20,09/20/24,2024-09-20,3461.48
AJV4 Index,2024-10-18,2024-10-18,10/18/24,2024-10-18,3518.08
AJX4 Index,2024-11-15,2024-11-15,11/15/24,2024-11-15,3399.0
AJZ4 Index,2024-12-20,2024-12-20,12/20/24,2024-12-20,3528.51
AJF5 Index,2025-01-17,2025-01-17,01/17/25,2025-01-17,3707.46
AJG5 Index,2025-02-21,2025-02-21,02/21/25,2025-02-21,3963.37
AJH5 Index,2025-03-21,2025-03-21,03/21/25,2025-03-21,4180.92
AJJ5 Index,2025-04-17,2025-04-17,04/17/25,2025-04-17,4073.83
AJK5 Index,2025-05-16,2025-05-16,05/16/25,2025-05-16,4189.25
AJM5 Index,2025-06-20,2025-06-20,06/20/25,2025-06-20,4153.25
AJN5 Index,2025-07-18,2025-07-18,07/18/25,2025-07-18,
AJU5 Index,2025-09-19,2025-09-19,09/19/25,2025-09-19,
AJZ5 Index,2025-12-19,2025-12-19,12/19/25,2025-12-19,
AJH6 Index,2026-03-20,2026-03-20,03/20/26,2026-03-20,
