Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
CFH18 Index,2018-03-16,2018-03-16,03/16/18,2018-03-16,5295.0
CFJ18 Index,2018-04-20,2018-04-20,04/20/18,2018-04-20,5408.6
CFK18 Index,2018-05-18,2018-05-18,05/18/18,2018-05-18,5625.1
CFM18 Index,2018-06-15,2018-06-15,06/15/18,2018-06-15,5525.5
CFN18 Index,2018-07-20,2018-07-20,07/20/18,2018-07-20,5369.5
CFQ18 Index,2018-08-17,2018-08-17,08/17/18,2018-08-17,5321.5
CFU18 Index,2018-09-21,2018-09-21,09/21/18,2018-09-21,5496.3
CFV18 Index,2018-10-19,2018-10-19,10/19/18,2018-10-19,5099.9
CFX18 Index,2018-11-16,2018-11-16,11/16/18,2018-11-16,5007.3
CFZ18 Index,2018-12-21,2018-12-21,12/21/18,2018-12-21,4669.6
CFF19 Index,2019-01-18,2019-01-18,01/18/19,2019-01-18,4868.4
CFG19 Index,2019-02-15,2019-02-15,02/15/19,2019-02-15,5152.0
CFH19 Index,2019-03-15,2019-03-15,03/15/19,2019-03-15,5387.3
CFJ19 Index,2019-04-18,2019-04-18,04/18/19,2019-04-18,5594.9
CFK19 Index,2019-05-17,2019-05-17,05/17/19,2019-05-17,5423.4
CFM19 Index,2019-06-21,2019-06-21,06/21/19,2019-06-21,5529.2
CFN19 Index,2019-07-19,2019-07-19,07/19/19,2019-07-19,5560.8
CFQ19 Index,2019-08-16,2019-08-16,08/16/19,2019-08-16,5284.9
CFU19 Index,2019-09-20,2019-09-20,09/20/19,2019-09-20,5689.2
CFV19 Index,2019-10-18,2019-10-18,10/18/19,2019-10-18,5640.4
CFX19 Index,2019-11-15,2019-11-15,11/15/19,2019-11-15,5930.0
CFZ19 Index,2019-12-20,2019-12-20,12/20/19,2019-12-20,
CFF20 Index,2020-01-17,2020-01-17,01/17/20,2020-01-17,
CFG20 Index,2020-02-21,2020-02-21,02/21/20,2020-02-21,
CFH20 Index,2020-03-20,2020-03-20,03/20/20,2020-03-20,
CFJ20 Index,2020-04-17,2020-04-17,04/17/20,2020-04-17,
CFK20 Index,2020-05-15,2020-05-15,05/15/20,2020-05-15,
CFM20 Index,2020-06-19,2020-06-19,06/19/20,2020-06-19,
CFN20 Index,2020-07-17,2020-07-17,07/17/20,2020-07-17,
CFQ20 Index,2020-08-21,2020-08-21,08/21/20,2020-08-21,
CFU20 Index,2020-09-18,2020-09-18,09/18/20,2020-09-18,
CFV20 Index,2020-10-16,2020-10-16,10/16/20,2020-10-16,4914.5
CFX20 Index,2020-11-20,2020-11-20,11/20/20,2020-11-20,5492.1
CFZ20 Index,2020-12-18,2020-12-18,12/18/20,2020-12-18,5538.9
CFF21 Index,2021-01-15,2021-01-15,01/15/21,2021-01-15,5612.8
CFG21 Index,2021-02-19,2021-02-19,02/19/21,2021-02-19,5771.8
CFH21 Index,2021-03-19,2021-03-19,03/19/21,2021-03-19,6011.9
CFJ21 Index,2021-04-16,2021-04-16,04/16/21,2021-04-16,6278.4
CFK21 Index,2021-05-21,2021-05-21,05/21/21,2021-05-21,6395.2
CFM21 Index,2021-06-18,2021-06-18,06/18/21,2021-06-18,6583.8
CFN21 Index,2021-07-16,2021-07-16,07/16/21,2021-07-16,6449.0
CFQ21 Index,2021-08-20,2021-08-20,08/20/21,2021-08-20,6620.7
CFU21 Index,2021-09-17,2021-09-17,09/17/21,2021-09-17,6635.7
CFV21 Index,2021-10-15,2021-10-15,10/15/21,2021-10-15,6738.3
CFX21 Index,2021-11-19,2021-11-19,11/19/21,2021-11-19,7113.2
CFZ21 Index,2021-12-17,2021-12-17,12/17/21,2021-12-17,6915.3
CFF22 Index,2022-01-21,2022-01-21,01/21/22,2022-01-21,7058.7
CFG22 Index,2022-02-18,2022-02-18,02/18/22,2022-02-18,6944.3
